"","baylor_id","baylor_other_id","sample_type","treated","nephele_description","rownum","nephele_description_numbered"
"119",2704,"qiaamp_pos_4","Mock",1,"host DNA depleted positive mock community",7,"host DNA depleted positive mock community_7"
"120",2703,"qiaamp_pos_3","Mock",1,"host DNA depleted positive mock community",8,"host DNA depleted positive mock community_8"
"121",2702,"qiaamp_pos_2","Mock",1,"host DNA depleted positive mock community",9,"host DNA depleted positive mock community_9"
"122",2701,"POS_EXT_20230119_3","Mock",0,"Control (untreated) positive mock community",4,"Control (untreated) positive mock community_4"
"123",2700,"qiaamp_pos_1","Mock",1,"host DNA depleted positive mock community",10,"host DNA depleted positive mock community_10"
"124",2699,"POS_EXT_20230119_2","Mock",0,"Control (untreated) positive mock community",5,"Control (untreated) positive mock community_5"
"125",2698,"POS_EXT_20230119_1","Mock",0,"Control (untreated) positive mock community",6,"Control (untreated) positive mock community_6"
"126",2697,"ben_neg_5","Neg.",1,"host DNA depleted negative reagent only controls",11,"host DNA depleted negative reagent only controls_11"
"127",2696,"ben_neg_4","Neg.",1,"host DNA depleted negative reagent only controls",12,"host DNA depleted negative reagent only controls_12"
"128",2695,"N_EXT_20230119_2","Neg.",0,"Control (untreated) negative reagent only controls",5,"Control (untreated) negative reagent only controls_5"
"129",2694,"ben_neg_3","Neg.",1,"host DNA depleted negative reagent only controls",13,"host DNA depleted negative reagent only controls_13"
"130",2693,"ben_neg_2","Neg.",1,"host DNA depleted negative reagent only controls",14,"host DNA depleted negative reagent only controls_14"
"131",2692,"ben_neg_1","Neg.",1,"host DNA depleted negative reagent only controls",15,"host DNA depleted negative reagent only controls_15"
"132",2691,"ben_pos_5","Mock",1,"host DNA depleted positive mock community",11,"host DNA depleted positive mock community_11"
"133",2690,"ben_pos_4","Mock",1,"host DNA depleted positive mock community",12,"host DNA depleted positive mock community_12"
"134",2689,"ben_pos_3","Mock",1,"host DNA depleted positive mock community",13,"host DNA depleted positive mock community_13"
"135",2688,"ben_pos_2","Mock",1,"host DNA depleted positive mock community",14,"host DNA depleted positive mock community_14"
"136",2687,"ben_pos_1","Mock",1,"host DNA depleted positive mock community",15,"host DNA depleted positive mock community_15"
"137",2686,"molysis_neg_5","Neg.",1,"host DNA depleted negative reagent only controls",16,"host DNA depleted negative reagent only controls_16"
"138",2685,"molysis_neg_4","Neg.",1,"host DNA depleted negative reagent only controls",17,"host DNA depleted negative reagent only controls_17"
"139",2684,"molysis_neg_3","Neg.",1,"host DNA depleted negative reagent only controls",18,"host DNA depleted negative reagent only controls_18"
"140",2683,"molysis_neg_2","Neg.",1,"host DNA depleted negative reagent only controls",19,"host DNA depleted negative reagent only controls_19"
"141",2682,"molysis_neg_1","Neg.",1,"host DNA depleted negative reagent only controls",20,"host DNA depleted negative reagent only controls_20"
"142",2681,"molysis_pos_5","Mock",1,"host DNA depleted positive mock community",16,"host DNA depleted positive mock community_16"
"143",2680,"molysis_pos_4","Mock",1,"host DNA depleted positive mock community",17,"host DNA depleted positive mock community_17"
"144",2679,"molysis_pos_3","Mock",1,"host DNA depleted positive mock community",18,"host DNA depleted positive mock community_18"
"145",2678,"N_EXT_20230119_1","Neg.",0,"Control (untreated) negative reagent only controls",6,"Control (untreated) negative reagent only controls_6"
"146",2677,"molysis_pos_2","Mock",1,"host DNA depleted positive mock community",19,"host DNA depleted positive mock community_19"
"147",2676,"molysis_pos_1","Mock",1,"host DNA depleted positive mock community",20,"host DNA depleted positive mock community_20"
"148",2675,"lyPMA_neg_5","Neg.",1,"host DNA depleted negative reagent only controls",21,"host DNA depleted negative reagent only controls_21"
"149",2674,"lyPMA_neg_4","Neg.",1,"host DNA depleted negative reagent only controls",22,"host DNA depleted negative reagent only controls_22"
"150",2673,"lyPMA_neg_3","Neg.",1,"host DNA depleted negative reagent only controls",23,"host DNA depleted negative reagent only controls_23"
"151",2672,"lyPMA_neg_2","Neg.",1,"host DNA depleted negative reagent only controls",24,"host DNA depleted negative reagent only controls_24"
"152",2671,"lyPMA_neg_1","Neg.",1,"host DNA depleted negative reagent only controls",25,"host DNA depleted negative reagent only controls_25"
"153",2670,"lyPMA_pos_5","Mock",1,"host DNA depleted positive mock community",21,"host DNA depleted positive mock community_21"
"154",2669,"lyPMA_pos_4","Mock",1,"host DNA depleted positive mock community",22,"host DNA depleted positive mock community_22"
"155",2668,"lyPMA_pos_3","Mock",1,"host DNA depleted positive mock community",23,"host DNA depleted positive mock community_23"
"156",2667,"lyPMA_pos_2","Mock",1,"host DNA depleted positive mock community",24,"host DNA depleted positive mock community_24"
"157",2666,"lyPMA_pos_1","Mock",1,"host DNA depleted positive mock community",25,"host DNA depleted positive mock community_25"
