"","value","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","metadata","qval","p_bh"
"53","benzonase",0.893632360364797,0.471853522165774,72.576765902694,1.89387663413656,0.0622268324879971,"Prevotella","benzonase",0.199070605003931,0.199070605003931
"54","host_zero",0.707909803720961,0.471853522165774,72.5767659031778,1.50027449296491,0.13788122631161,"Prevotella","host_zero",0.335454934745929,0.335454934745929
"55","molysis",0.765785539838687,0.471391347979488,72.4640286108772,1.62452183970082,0.108606616794173,"Prevotella","molysis",0.288893600672501,0.288893600672501
"56","qiaamp",0.798864793419883,0.469996277439943,72.1669596373542,1.69972578883237,0.0934891846907984,"Prevotella","qiaamp",0.264554501359068,0.264554501359068
"57","Nasal",-0.451594360413927,0.2054057888899,18.9974350564202,-2.19854738688006,0.0405012907341975,"Dialister","sample_type",0.152452971725894,0.152452971725894
"58","Sputum",-1.15263456706756,0.228848136602421,16.579187698963,-5.03667883942633,0.000109324142042047,"Dialister","sample_type",0.00180957182656733,0.00180957182656733
"59","lypma",-0.00174344509916515,0.170812032340749,73.3647048989398,-0.0102068049614163,0.991883993921252,"Dialister","lypma",0.999321164630346,0.999321164630346
"60","benzonase",0.0477180246600211,0.171261401930782,73.8566585128457,0.278626848326906,0.781309842362305,"Dialister","benzonase",0.975596495701065,0.975596495701065
"61","host_zero",-0.295139223135078,0.171261401930782,73.8566585134775,-1.72332597892877,0.0890139431720269,"Dialister","host_zero",0.256981569917626,0.256981569917626
"62","molysis",-0.208092293697144,0.171135670542796,73.7121796502059,-1.21594927017338,0.22788398130583,"Dialister","molysis",0.477717583055213,0.477717583055213
"63","qiaamp",-0.173655464277929,0.170741045241705,73.3167519099604,-1.01706923506353,0.312465088991076,"Dialister","qiaamp",0.554104757810842,0.554104757810842
"64","Nasal",-0.225386783525991,0.117423016601558,18.7336132008303,-1.91944296824513,0.0702907605731746,"Negativicoccus","sample_type",0.21741095712168,0.21741095712168
"65","Sputum",-0.907989647421134,0.129101188609365,15.5384729954179,-7.03316256962228,3.32858918865174e-06,"Negativicoccus","sample_type",0.000442702362090681,0.000442702362090681
"66","lypma",0.0158111605069021,0.113766512951392,73.7197382661859,0.138979037826866,0.889845679981718,"Negativicoccus","lypma",0.983888428601341,0.983888428601342
"67","benzonase",-0.212092237014812,0.113987296996765,74.2923304719098,-1.86066555311713,0.0667485951521492,"Negativicoccus","benzonase",0.20806788645084,0.20806788645084
"68","host_zero",-0.397534440116324,0.113987296996765,74.292330472198,-3.4875328268167,0.000822606083624701,"Negativicoccus","host_zero",0.00820549568415639,0.00820549568415639
"69","molysis",-0.31006873048128,0.113926576024023,74.1268472111719,-2.72165408022004,0.00809129044768779,"Negativicoccus","molysis",0.0512448395020226,0.0512448395020226
"70","qiaamp",-0.162978882342696,0.113727744961361,73.649648735202,-1.43306175989041,0.15607159213046,"Negativicoccus","qiaamp",0.364167048304407,0.364167048304407
"71","Nasal",-0.548620812302652,0.252208195451347,18.7446759645133,-2.17526956775077,0.0426222473223373,"Anaeroglobus","sample_type",0.154602515287387,0.154602515287387
"72","Sputum",-1.19415693682576,0.283093108625066,16.819022084083,-4.21824799136077,0.000590841971564688,"Anaeroglobus","sample_type",0.00620384070142922,0.00620384070142922
"73","lypma",-0.0276961429578761,0.187092532957677,72.7932482754876,-0.148034464657878,0.882724864713136,"Anaeroglobus","lypma",0.983888428601341,0.983888428601342
"74","benzonase",-0.0260016813685077,0.187667815064108,73.2303958627413,-0.138551628363262,0.890184768734547,"Anaeroglobus","benzonase",0.983888428601341,0.983888428601342
"75","host_zero",-0.218302171897052,0.187667815064108,73.2303958632718,-1.16323713697247,0.248509710440636,"Anaeroglobus","host_zero",0.502042703105985,0.502042703105985
"76","molysis",-0.0572945374574906,0.187505505598412,73.1013423591729,-0.305561894167526,0.760806668013638,"Anaeroglobus","molysis",0.963688446150608,0.963688446150608
"77","qiaamp",-0.0986160936555784,0.187007289161146,72.7562337203663,-0.527338234236422,0.599563137114968,"Anaeroglobus","qiaamp",0.873086466090775,0.873086466090775
"78","Nasal",-0.182355405380833,0.115890299894525,18.7902960189548,-1.57351741730585,0.132286002324445,"Campylobacter","sample_type",0.32527359748615,0.32527359748615
"79","Sputum",-0.864257502963251,0.127697000160595,15.7188125029802,-6.76803293637545,4.95534452932539e-06,"Campylobacter","sample_type",0.000494295616800207,0.000494295616800207
"80","lypma",0.0193665130374729,0.109821626628452,73.6800823586515,0.176345166539862,0.860506589873029,"Campylobacter","lypma",0.983888428601341,0.983888428601342
"81","benzonase",-0.20630941304937,0.110046459281718,74.2412575069978,-1.87474830536091,0.0647607446748457,"Campylobacter","benzonase",0.203460922246169,0.203460922246169
"82","host_zero",-0.285738376879506,0.110046459281718,74.2412575060809,-2.59652494723177,0.0113468115005719,"Campylobacter","host_zero",0.0696519659804334,0.0696519659804335
"83","molysis",-0.426934944601202,0.109984436388403,74.0785481388842,-3.88177599140942,0.000223148619254075,"Campylobacter","molysis",0.00287213868007665,0.00287213868007665
"84","qiaamp",-0.235335187437071,0.109782808281015,73.6138144832463,-2.14364335474708,0.0353649805247298,"Campylobacter","qiaamp",0.141045811735121,0.141045811735121
"85","Nasal",-0.791592693892775,0.577920259961048,18.6004915221735,-1.36972649816106,0.18708227563604,"Pauljensenia","sample_type",0.414699044326555,0.414699044326555
"86","Sputum",1.98025069091675,0.644047110661504,16.23686208224,3.0746985090622,0.00715714172006604,"Pauljensenia","sample_type",0.0484016872255314,0.0484016872255314
"87","lypma",-0.192360615444431,0.478850868665482,73.0578878003333,-0.401712992565982,0.689067993785003,"Pauljensenia","lypma",0.928845032162892,0.928845032162893
"88","benzonase",1.1106986407746,0.480117825833135,73.5574411584532,2.31338763322781,0.0234989145018787,"Pauljensenia","benzonase",0.115297261343611,0.115297261343611
"89","host_zero",1.29254180787271,0.480117825833135,73.5574411570109,2.69213459348191,0.0087854692180444,"Pauljensenia","host_zero",0.0547719096562456,0.0547719096562456
"90","molysis",1.94662528651749,0.479763226070855,73.4106799086678,4.05747081213349,0.000122452228865458,"Pauljensenia","molysis",0.00180957182656733,0.00180957182656733
"91","qiaamp",1.17720227296566,0.478651170240349,73.0094374916137,2.45941584635537,0.0162853604943273,"Pauljensenia","qiaamp",0.0915191385526278,0.0915191385526278
"92","Nasal",-0.37429386794058,0.233920150165987,20.9046172771141,-1.60009245751161,0.124583261084068,"Tannerella","sample_type",0.314612159319894,0.314612159319894
"93","Sputum",-0.967304607548154,0.249633629824437,15.5942470410403,-3.87489701699423,0.00140148307164605,"Tannerella","sample_type",0.0127089033087903,0.0127089033087903
"94","lypma",-0.017759757816461,0.283922442399079,75.8277811124551,-0.0625514406906165,0.950288289028219,"Tannerella","lypma",0.997270903740972,0.997270903740972
"95","benzonase",-0.22956237558566,0.284136848894159,76.4034733028503,-0.807928913405988,0.42163987483711,"Tannerella","benzonase",0.678364153467769,0.678364153467769
"96","host_zero",-0.217710442691593,0.284136848894159,76.4034733027756,-0.766216854796928,0.445908150856637,"Tannerella","host_zero",0.709392735003983,0.709392735003983
"97","molysis",0.0687473530934748,0.28408058075721,76.2475363083223,0.24199948095794,0.809430266375722,"Tannerella","molysis",0.975596495701065,0.975596495701065
"98","qiaamp",-0.271008957510632,0.283876289136777,75.7200740714783,-0.954672749649954,0.342781113424162,"Tannerella","qiaamp",0.586994267194165,0.586994267194165
"99","Nasal",-0.306778103184798,0.180797716215625,19.9611480560823,-1.69680297741662,0.105273402443735,"Lautropia","sample_type",0.288893600672501,0.288893600672501
"100","Sputum",-0.994577152954763,0.196746939285559,15.9789715098105,-5.05510864141693,0.000117586207762572,"Lautropia","sample_type",0.00180957182656733,0.00180957182656733
"101","lypma",0.00283035857131108,0.191879703945695,74.8642052915164,0.0147506928200813,0.988270316597089,"Lautropia","lypma",0.999321164630346,0.999321164630346
"102","benzonase",-0.213898088376384,0.192163943686749,75.4366863984451,-1.11310209539134,0.26919894870577,"Lautropia","benzonase",0.524873574674033,0.524873574674033
"103","host_zero",-0.399340291477895,0.192163943686749,75.4366864010758,-2.07812289764864,0.041099906145175,"Lautropia","host_zero",0.15326039768154,0.15326039768154
"104","molysis",-0.0638722530506714,0.192086938013968,75.2742500028657,-0.332517420034187,0.740422829137837,"Lautropia","molysis",0.959184119564925,0.959184119564925
"105","qiaamp",-0.248615936748011,0.191825894350361,74.7820416013351,-1.29604992897322,0.198944043468916,"Lautropia","qiaamp",0.436146556835699,0.436146556835699
"106","Nasal",-0.3397369410549,0.201401283358881,20.3792404693096,-1.68686582026151,0.106877952406392,"Fusobacterium","sample_type",0.288893600672501,0.288893600672501
"107","Sputum",-1.02850652239557,0.217606686579367,15.9006072651168,-4.7264472363557,0.000231894973080079,"Fusobacterium","sample_type",0.00289144044559223,0.00289144044559223
"108","lypma",-0.00147823904573744,0.225611121902197,75.2942217572942,-0.0065521550235376,0.994789503265835,"Fusobacterium","lypma",0.999321164630346,0.999321164630346
"109","benzonase",-0.216630088540793,0.225880728014032,75.8700752473875,-0.959046353557598,0.340581725549394,"Fusobacterium","benzonase",0.585741846957795,0.585741846957795
"110","host_zero",-0.402072291642305,0.225880728014032,75.8700752473792,-1.78002034603557,0.0790765990099925,"Fusobacterium","host_zero",0.237229797029978,0.237229797029978
"111","molysis",0.00230537798735639,0.225808500685707,75.7091572312237,0.0102094384416694,0.991881043295051,"Fusobacterium","molysis",0.999321164630346,0.999321164630346
"112","qiaamp",-0.253190284199056,0.225557512122494,75.2026748728558,-1.12250876424615,0.265217262958469,"Fusobacterium","qiaamp",0.5212891030563,0.5212891030563
"113","Nasal",-0.354139280861537,0.210813575685145,20.5396703685582,-1.67986942828792,0.1081304080471,"Leptotrichia","sample_type",0.288893600672501,0.288893600672501
"114","Sputum",-1.04335971651348,0.227163068166363,15.8721923656173,-4.59299887492881,0.000306018040306701,"Leptotrichia","sample_type",0.0034886056594964,0.0034886056594964
"115","lypma",-0.00318383487015895,0.240630208739399,75.4464845994167,-0.0132312351256239,0.989478235671245,"Leptotrichia","lypma",0.999321164630346,0.999321164630346
"116","benzonase",-0.217824534817549,0.240893325280682,76.0221119865227,-0.904236489590343,0.368726612677824,"Leptotrichia","benzonase",0.620767588432286,0.620767588432286
"117","host_zero",-0.40326673791906,0.240893325280682,76.0221119856729,-1.67404695605071,0.0982311694338103,"Leptotrichia","host_zero",0.274085570657974,0.274085570657974
"118","molysis",0.0311630217817789,0.240823143500468,75.8622658556422,0.129402105332614,0.897381961997706,"Leptotrichia","molysis",0.984728147356299,0.984728147356299
"119","qiaamp",-0.255008363554636,0.240576945424179,75.3515289942058,-1.05998670448248,0.292536570999168,"Leptotrichia","qiaamp",0.537889824095244,0.537889824095244
"120","Nasal",-0.321513124907567,0.189829983961284,20.156929694554,-1.69368989133529,0.10572211719086,"Centipeda","sample_type",0.288893600672501,0.288893600672501
"121","Sputum",-1.0097368654298,0.205880854080018,15.9414622644868,-4.90447190896804,0.000160408842587759,"Centipeda","sample_type",0.00220700442043159,0.00220700442043159
"122","lypma",0.000827973382508551,0.206832066923229,75.0718698081022,0.0040031190270698,0.996816600307964,"Centipeda","lypma",0.999321164630346,0.999321164630346
"123","benzonase",-0.21511570378405,0.207109877111023,75.6467160917069,-1.0386549728323,0.302273799695359,"Centipeda","benzonase",0.548214754902037,0.548214754902037
"124","host_zero",-0.400557906885562,0.207109877111023,75.6467160911364,-1.93403575180936,0.0568491420293037,"Centipeda","host_zero",0.186402326094107,0.186402326094107
"125","molysis",-0.0342535563230949,0.207035004648838,75.4847362591325,-0.165448139464116,0.869033570654415,"Centipeda","molysis",0.983888428601341,0.983888428601342
"126","qiaamp",-0.250737551250739,0.206778224943926,74.9852225853903,-1.21259166103556,0.22909252321133,"Centipeda","qiaamp",0.477717583055213,0.477717583055213
"127","Nasal",-0.347698362060308,0.206577525369034,20.4695540895915,-1.68313741506572,0.107539773944503,"Bacteroides","sample_type",0.288893600672501,0.288893600672501
"128","Sputum",-1.03671492624154,0.222860237931372,15.8845064388237,-4.65186134531897,0.000270748798657849,"Bacteroides","sample_type",0.00317731678424946,0.00317731678424946
"129","lypma",-0.00243289276790268,0.23389631653582,75.3807464946459,-0.0104015864975372,0.991728363949915,"Bacteroides","lypma",0.999321164630346,0.999321164630346
"130","benzonase",-0.217291028493832,0.234162327175039,75.9565630679753,-0.927950414207338,0.356372720836177,"Bacteroides","benzonase",0.605075385589934,0.605075385589934
